city_name,city_lat,city_lon,country_code,year,temp_avg,months_represented,seasons_represented,tmax_c,tmin_c,temp_range,distance_km,valid_temp_weeks,lat_band_simple
Aasiaat,68.709,-52.864,GL,2000,-2.952,12,4,-0.344,-5.561,5.216,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2001,-2.875,12,4,-0.474,-5.277,4.803,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2002,-3.096,12,4,-0.57,-5.622,5.052,1.113,51,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2003,-1.414,12,4,1.253,-4.081,5.334,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2004,-2.714,12,4,-0.439,-4.989,4.55,1.113,53,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2005,-1.66,12,4,1.056,-4.376,5.432,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2006,-2.365,12,4,0.015,-4.745,4.761,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2007,-2.325,12,4,0.099,-4.748,4.848,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2008,-3.628,12,4,-1.013,-5.975,5.229,1.113,51,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2009,-2.385,12,4,0.044,-4.81,4.85,1.113,49,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2010,0.416,12,4,2.755,-1.922,4.677,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2011,-3.202,12,4,-0.593,-5.81,5.217,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2012,-3.266,12,4,1.066,-7.599,8.664,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2014,-3.619,12,4,0.872,-8.111,8.983,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2015,-5.399,12,4,-2.694,-8.104,5.41,1.113,53,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2016,-1.795,12,4,0.853,-4.443,5.296,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2017,-3.865,12,4,-1.042,-6.604,5.477,1.113,51,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2018,-4.253,12,4,-1.586,-6.92,5.335,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2019,-1.379,12,4,1.258,-4.016,5.275,1.113,50,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2020,-2.531,12,4,-0.15,-4.912,4.762,1.113,53,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2021,-1.784,12,4,0.906,-4.474,5.381,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2022,-2.84,12,4,-0.264,-5.416,5.152,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2023,-3.274,12,4,-0.889,-5.66,4.771,1.113,52,High Northern (>=45°N)
Aasiaat,68.709,-52.864,GL,2024,-2.826,12,4,-0.514,-5.137,4.623,1.113,52,High Northern (>=45°N)
Albion Park Rail,-34.566,150.792,AU,2000,16.736,12,4,22.352,11.12,11.233,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2001,17.042,12,4,22.539,11.545,10.994,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2002,16.607,12,4,22.566,10.647,11.918,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2003,16.681,12,4,22.086,11.275,10.811,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2004,17.051,12,4,22.742,11.36,11.382,0.326,53,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2005,16.989,12,4,22.852,11.125,11.727,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2006,16.751,12,4,22.56,10.942,11.618,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2007,17.177,12,4,22.511,11.843,10.668,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2008,16.458,12,4,21.931,10.985,10.946,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2009,17.35,12,4,22.882,11.817,11.065,0.326,53,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2010,17.121,12,4,22.265,11.976,10.289,0.326,52,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2011,16.802,12,4,21.93,11.674,10.256,0.326,51,Low Southern (0-45°S)
Albion Park Rail,-34.566,150.792,AU,2012,16.533,12,4,22.075,10.991,11.084,0.326,52,Low Southern (0-45°S)
