city_name,country_code,city_lat,Total_Years,First_Year,Last_Year,Mean_Temp,Temp_StdDev,Avg_Valid_Weeks_Per_Year
Aasiaat,GL,68.709,24,2000,2024,-2.70963,1.14539,51.79167
Albion Park Rail,AU,-34.566,25,2000,2024,17.14264,0.4118,52.08
Anahuac,MX,22.203,24,2000,2024,25.9315,0.68168,51.54167
Anza,US,33.555,25,2000,2024,14.47904,0.59926,52.12
Atuona,PF,-9.803,25,2000,2024,26.94904,0.3827,52.0
Bailingmiao,CN,41.692,25,2000,2024,5.73276,0.6321,52.16
Belle Fourche,US,44.671,25,2000,2024,9.09632,1.04562,52.16
Birni N Konni,NE,13.796,22,2000,2024,30.03895,0.43604,51.72727
Boguchany,RU,58.383,25,2000,2024,-0.67144,1.15841,52.16
Bohicon,BJ,7.178,23,2000,2024,28.41591,0.22761,51.73913
Bombala,AU,-36.912,25,2000,2024,12.33916,0.41933,52.16
Bor,RU,61.601,25,2000,2024,-2.2532,1.27331,52.08
Boromo,BF,11.745,24,2000,2024,29.17771,0.30051,51.45833
Broome,AU,-17.955,25,2000,2024,27.08256,0.63632,52.16
Cascade,SC,-4.669,19,2000,2023,27.632,0.23238,52.05263
Ceduna,AU,-32.127,25,2000,2024,16.7642,0.38383,52.16
Cherskiy,RU,68.753,21,2000,2024,-9.20981,1.11122,51.66667
Collinsville,AU,-20.552,24,2000,2024,23.78533,0.62281,52.04167
Comodoro Rivadavia,AR,-45.863,25,2000,2024,13.8396,0.64149,52.16
Coyhaique,CL,-45.575,12,2000,2024,9.0885,0.43721,51.25
Cuenca,ES,40.067,25,2000,2024,14.13584,0.73049,52.16
Daroca,ES,41.115,25,2000,2024,13.55592,0.5125,52.16
Deer Lake,CA,49.167,22,2000,2023,5.30464,0.70459,52.18182
Denham,AU,-25.927,25,2000,2024,22.63076,0.56226,52.16
Dupree,US,45.047,25,2000,2024,8.51216,1.1606,52.16
Ebaye,MH,8.775,25,2000,2024,28.26176,0.29286,51.92
Ezeiza,AR,-34.854,25,2000,2024,17.68516,0.51899,51.8
Fort Beaufort,ZA,-32.775,22,2000,2024,19.83914,0.4556,51.81818
Funes,AR,-32.916,22,2000,2024,18.64159,0.46746,51.77273
Glen Innes,AU,-29.735,25,2000,2024,14.23316,0.52352,52.16
Guiping,CN,23.395,25,2000,2024,22.92424,0.31735,52.16
Invercargill,NZ,-46.4,25,2000,2024,10.02572,0.42874,52.12
Jiexiu,CN,37.024,25,2000,2024,12.24184,0.76376,52.16
Kahuku,US,21.68,25,2000,2024,24.22236,0.94618,52.16
Kalbarri,AU,-27.71,25,2000,2024,21.61612,0.54118,52.16
Kandi,BJ,11.134,23,2000,2024,28.69826,0.34763,51.52174
