city_name,country_code,total_years_available,balanced_years,avg_min_seasonal_weeks,balanced_fraction
Aasiaat,GL,26,24,11.576923076923077,0.9230769230769231
Albion Park Rail,AU,26,25,12.115384615384615,0.9615384615384616
Anahuac,MX,26,24,11.692307692307692,0.9230769230769231
Anza,US,26,25,12.153846153846153,0.9615384615384616
Atuona,PF,26,25,12.153846153846153,0.9615384615384616
Bailingmiao,CN,26,25,12.192307692307692,0.9615384615384616
Belle Fourche,US,26,25,12.192307692307692,0.9615384615384616
Birni N Konni,NE,26,24,11.346153846153847,0.9230769230769231
Boguchany,RU,26,25,12.192307692307692,0.9615384615384616
Bohicon,BJ,26,24,11.346153846153847,0.9230769230769231
Bombala,AU,26,25,12.192307692307692,0.9615384615384616
Bor,RU,26,25,12.192307692307692,0.9615384615384616
Boromo,BF,26,24,11.423076923076923,0.9230769230769231
Broome,AU,26,25,12.192307692307692,0.9615384615384616
Cascade,SC,25,21,10.88,0.84
Ceduna,AU,26,25,12.192307692307692,0.9615384615384616
Cherskiy,RU,26,25,11.961538461538462,0.9615384615384616
Collinsville,AU,26,24,11.73076923076923,0.9230769230769231
Comodoro Rivadavia,AR,26,25,12.192307692307692,0.9615384615384616
Coyhaique,CL,24,14,7.75,0.5833333333333334
Cuenca,ES,26,25,12.192307692307692,0.9615384615384616
Daroca,ES,26,25,12.192307692307692,0.9615384615384616
Deer Lake,CA,25,22,11.32,0.88
Denham,AU,26,25,12.192307692307692,0.9615384615384616
Dupree,US,26,25,12.192307692307692,0.9615384615384616
Ebaye,MH,26,25,12.076923076923077,0.9615384615384616
Ezeiza,AR,26,25,12.192307692307692,0.9615384615384616
Fort Beaufort,ZA,26,23,11.115384615384615,0.8846153846153846
Funes,AR,26,23,11.653846153846153,0.8846153846153846
Glen Innes,AU,26,25,12.192307692307692,0.9615384615384616
Guiping,CN,26,25,12.192307692307692,0.9615384615384616
Invercargill,NZ,26,25,12.192307692307692,0.9615384615384616
Jiexiu,CN,26,25,12.192307692307692,0.9615384615384616
Kahuku,US,26,25,12.192307692307692,0.9615384615384616
Kalbarri,AU,26,25,12.192307692307692,0.9615384615384616
Kandi,BJ,26,24,11.307692307692308,0.9230769230769231
Khatanga,RU,26,25,12.153846153846153,0.9615384615384616
Khowa,ZA,26,24,10.961538461538462,0.9230769230769231
Klyuchi,RU,26,15,7.923076923076923,0.5769230769230769
Kolonia,FM,26,25,12.192307692307692,0.9615384615384616
Kotzebue,US,26,25,12.192307692307692,0.9615384615384616
Kutchan,JP,26,24,11.615384615384615,0.9230769230769231
Kēōkea,US,26,22,10.538461538461538,0.8461538461538461
La Mare,RE,26,25,12.192307692307692,0.9615384615384616
Laboulaye,AR,26,25,12.192307692307692,0.9615384615384616
Lachute,CA,25,20,10.24,0.8
Lamoni,US,26,25,12.192307692307692,0.9615384615384616
Malargüe,AR,26,22,10.73076923076923,0.8461538461538461
Mariestad,SE,26,24,11.576923076923077,0.9230769230769231
Molina de Aragón,ES,26,25,12.153846153846153,0.9615384615384616
Munising,US,26,25,12.192307692307692,0.9615384615384616
Murrurundi,AU,26,25,12.192307692307692,0.9615384615384616
Målilla,SE,26,24,11.576923076923077,0.9230769230769231
Mākaha Valley,US,26,25,12.192307692307692,0.9615384615384616
Narooma,AU,26,25,12.192307692307692,0.9615384615384616
Naryn,KG,26,25,12.192307692307692,0.9615384615384616
Nasinu,FJ,26,25,12.153846153846153,0.9615384615384616
Nikol’skoye,RU,25,17,9.12,0.68
Noupoort,ZA,26,25,11.576923076923077,0.9615384615384616
Okhotsk,RU,26,25,12.192307692307692,0.9615384615384616
Ongi,MN,26,25,12.192307692307692,0.9615384615384616
Onslow,AU,26,25,12.192307692307692,0.9615384615384616
Pello,FI,26,25,12.192307692307692,0.9615384615384616
Port-aux-Français,TF,26,24,11.884615384615385,0.9230769230769231
Postmasburg,ZA,26,22,10.461538461538462,0.8461538461538461
Puerto San Julián,AR,26,23,11.5,0.8846153846153846
Qionghai,CN,26,25,12.192307692307692,0.9615384615384616
Reykjavík,IS,26,25,12.192307692307692,0.9615384615384616
Richlands,US,26,25,12.115384615384615,0.9615384615384616
Rikitea,PF,26,25,12.192307692307692,0.9615384615384616
Rockhampton,AU,26,25,12.192307692307692,0.9615384615384616
Rovaniemi,FI,26,25,11.846153846153847,0.9615384615384616
Río Gallegos,AR,26,25,12.192307692307692,0.9615384615384616
Safed,IL,26,25,12.115384615384615,0.9615384615384616
Salla,FI,26,25,12.192307692307692,0.9615384615384616
Sambava,MG,25,22,11.04,0.88
Saskylakh,RU,26,25,12.192307692307692,0.9615384615384616
Seymchan,RU,26,25,12.192307692307692,0.9615384615384616
Srednekolymsk,RU,26,24,11.846153846153847,0.9230769230769231
Stykkishólmur,IS,26,25,12.076923076923077,0.9615384615384616
Tafunsak,FM,25,21,10.32,0.84
Tagbilaran City,PH,26,25,11.846153846153847,0.9615384615384616
Thiruvananthapuram,IN,26,25,12.192307692307692,0.9615384615384616
Tāfuna,AS,26,25,12.076923076923077,0.9615384615384616
Upernavik,GL,26,21,9.807692307692308,0.8076923076923077
Utqiagvik,US,26,25,12.192307692307692,0.9615384615384616
Vardø,NO,26,25,12.192307692307692,0.9615384615384616
Verkhoyansk,RU,26,25,12.192307692307692,0.9615384615384616
Weno,FM,26,25,12.192307692307692,0.9615384615384616
Yeppoon,AU,26,25,12.192307692307692,0.9615384615384616
Zhigansk,RU,26,25,12.192307692307692,0.9615384615384616
Zyryanka,RU,26,25,12.192307692307692,0.9615384615384616
