city_name,country_code,latitude,longitude,station_distance_km,years_analyzed,first_year,last_year,temp_trend_per_year,temp_trend_per_decade,ols_trend_per_decade,r_squared,t_statistic,p_value,significant_05,temp_2000_2009,temp_2015_2024,mean_temp_all_years,temp_std_dev
Aasiaat,GL,68.709,-52.864,1.113,24,2000,2024,-0.0193459595959596,-0.193459595959596,-0.21965004009623088,0.02076929462682231,-0.6830927916682984,0.5016791912500795,False,-2.5414000000000003,-2.9946,-2.7096250000000004,1.1453918946767976
Albion Park Rail,AU,-34.566,150.792,0.326,25,2000,2024,0.03849999999999989,0.3849999999999989,0.3671615384615382,0.430606112614752,4.170591108350142,0.0003680313639791155,True,16.8842,17.469699999999996,17.14264,0.41179696453470843
Anahuac,MX,22.203,-97.855,0.604,24,2000,2024,0.068770053475936,0.68770053475936,0.6936915705412596,0.5285660086022155,4.966500795392062,5.713759930858764e-05,True,25.4655,26.582333333333334,25.9315,0.681677917061053
Anza,US,33.555,-116.674,0.059,25,2000,2024,0.021438080495356025,0.21438080495356027,0.15082307692307678,0.03431105000746726,0.9039872214305152,0.37537371425680144,False,14.416900000000002,14.6909,14.479040000000003,0.5992621490911413
Atuona,PF,-9.803,-139.042,1.058,25,2000,2024,0.019844155844155966,0.19844155844155967,0.2058999999999994,0.15679441805898942,2.0680568843191094,0.050061215552462235,False,26.815600000000007,27.1264,26.949040000000004,0.3826988023672577
Bailingmiao,CN,41.692,110.436,0.921,25,2000,2024,0.035333333333333314,0.35333333333333317,0.32556153846153824,0.1436915437161005,1.964555972447234,0.06165985869242707,False,5.6335999999999995,5.9799,5.732760000000001,0.6320967278299527
Belle Fourche,US,44.671,-103.852,0.083,25,2000,2024,-0.022056249999999878,-0.22056249999999877,-0.30830769230769206,0.04709237592448101,-1.066138970233912,0.2974250148582498,False,9.254,8.860899999999999,9.09632,1.0456229690157601
Birni N Konni,NE,13.796,5.25,0.447,22,2000,2024,0.01905000000000001,0.1905000000000001,0.23979138218783191,0.17257569310216936,2.0423993969222476,0.05451892359439836,False,29.76685714285714,30.067100000000003,30.038954545454548,0.43604209902395014
Boguchany,RU,58.383,97.449,0.068,25,2000,2024,0.026994949494949495,0.26994949494949494,0.2425846153846151,0.02375369244068304,0.7480829909587774,0.4619914546735875,False,-0.7676000000000001,-0.4035,-0.6714399999999999,1.1584138609898162
Bohicon,BJ,7.178,2.067,1.253,23,2000,2024,0.010818181818181798,0.10818181818181798,0.0996398364815339,0.10746872671431829,1.5901532381337815,0.12674289499380853,False,28.318125000000002,28.519300000000005,28.415913043478263,0.2276104952532003
Bombala,AU,-36.912,149.237,0.141,25,2000,2024,0.01930724637681159,0.19307246376811588,0.12319230769230749,0.04675000727205525,1.0620656285659023,0.2992310173466115,False,12.312500000000002,12.4616,12.33916,0.419332771594748
Bor,RU,61.601,90.018,0.143,25,2000,2024,0.045321428571428575,0.45321428571428574,0.42596153846153834,0.06061828612967035,1.2182732089004082,0.23547008095903776,False,-2.5325999999999995,-1.8634999999999997,-2.2532,1.273311365430048
Boromo,BF,11.745,-2.93,0.602,24,2000,2024,0.00821978021978027,0.0821978021978027,0.09781718098415333,0.05753536165966455,1.1589007180480866,0.2589217208266523,False,29.145100000000003,29.299555555555557,29.17770833333333,0.3005092025164981
Broome,AU,-17.955,122.239,0.969,25,2000,2024,0.05418627450980394,0.5418627450980394,0.5237999999999995,0.3670438122390415,3.652044380633648,0.0013290861929429187,True,26.670800000000003,27.484999999999996,27.082559999999997,0.6363156370858729
Cascade,SC,-4.669,55.5,1.952,19,2000,2023,0.013999999999999346,0.13999999999999346,0.15733651298357154,0.2529320867024072,2.3990891260712934,0.02817835258985779,True,27.55466666666667,27.8284,27.631999999999994,0.23238091334894273
Ceduna,AU,-32.127,133.673,0.023,25,2000,2024,0.025933035714285672,0.25933035714285674,0.21966153846153802,0.17740622781049387,2.2271816524295582,0.03600731674540936,True,16.645999999999997,16.8291,16.7642,0.3838271095167718
Cherskiy,RU,68.753,161.331,1.967,21,2000,2024,0.0487380952380952,0.48738095238095197,0.6501185468451238,0.21311188551918148,2.268423529757155,0.035149776396790955,True,-9.818555555555555,-8.613600000000002,-9.209809523809524,1.11121967310913
Collinsville,AU,-20.552,147.844,0.283,24,2000,2024,0.026791666666666693,0.2679166666666669,0.29267215496367993,0.12391416295063351,1.7639996085552825,0.09161541922198602,False,23.675,24.217444444444443,23.785333333333337,0.6228121125477825
Comodoro Rivadavia,AR,-45.863,-67.494,8.859,25,2000,2024,0.05289935064935063,0.5289935064935063,0.6414076923076918,0.5415338219839481,5.212223858430781,2.7597523776012878e-05,True,13.3744,14.268899999999999,13.8396,0.6414863599485183
Coyhaique,CL,-45.575,-72.066,3.735,12,2000,2024,0.019173913043478277,0.19173913043478277,0.12154513418270528,0.06479633294927001,0.8323809141593476,0.4246262114368864,False,8.9728,9.1792,9.0885,0.43721026769944227
Cuenca,ES,40.067,-2.133,0.406,25,2000,2024,0.07317788461538466,0.7317788461538466,0.7531384615384609,0.5757779717345837,5.587207912557945,1.1003235341533468e-05,True,13.6628,14.7614,14.135839999999998,0.7304884598677789
Daroca,ES,41.115,-1.415,0.364,25,2000,2024,0.01589285714285711,0.1589285714285711,0.18118461538461533,0.06769961396208568,1.2923468306829633,0.20907089355170783,False,13.4987,13.701300000000003,13.55592,0.5125004813005872
Deer Lake,CA,49.167,-57.432,0.121,22,2000,2023,-0.009600000000000008,-0.09600000000000009,-0.06709476252880842,0.004343326650415813,-0.2953734391869536,0.7707532577711842,False,5.2216000000000005,4.9432857142857145,5.304636363636363,0.7045913064258663
Denham,AU,-25.927,113.533,0.157,25,2000,2024,0.04130000000000009,0.41300000000000087,0.3993307692307691,0.27322768621185967,2.9405399419859632,0.0073445933710278855,True,22.242600000000003,22.7456,22.63076,0.5622590802586771
